     3.00           C                   M                   RINEX VERSION / TYPE
PANDA-MEGCLK        WHU                                     PGM / RUN BY / DATE
     1    AS                                                # / TYPES OF DATA
   GPS                                                      TIME SYSTEM ID
   600.00                                                   INTERVAL
WHU  GNSS RESEARCH CENTER, WUHAN UNIVERSITY, P.R.CHINA      ANALYSIS CENTER
    68                                                      # OF SOLN SATS
G01 G02 G03 G04 G05 G06 G07 G08 G09 G10 G11 G12 G13 G14 G15 PRN LIST
G16 G17 G18 G19 G20 G21 G22 G23 G24 G25 G26 G27 G29 G30 G31 PRN LIST
G32 C01 C02 C03 C04 C05 C06 C07 C08 C09 C11 C12 C13 C14 C19 PRN LIST
C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C32 C33 C34 C35 PRN LIST
C36 C37 C41 C42 C43 C44 C45 C46                             PRN LIST
                                                            END OF HEADER
AS G01  2022  6 10  0  0  0.000000  1    0.344612228937E-03
AS G02  2022  6 10  0  0  0.000000  1   -0.652815009909E-03
AS G03  2022  6 10  0  0  0.000000  1   -0.273484993175E-03
AS G04  2022  6 10  0  0  0.000000  1   -0.158715963495E-03
AS G05  2022  6 10  0  0  0.000000  1   -0.849586660382E-04
AS G06  2022  6 10  0  0  0.000000  1    0.337261966510E-03
AS G07  2022  6 10  0  0  0.000000  1    0.321939271368E-03
AS G08  2022  6 10  0  0  0.000000  1   -0.714910017850E-04
AS G09  2022  6 10  0  0  0.000000  1   -0.329744644210E-03
AS G10  2022  6 10  0  0  0.000000  1   -0.448660145313E-03
AS G11  2022  6 10  0  0  0.000000  1   -0.162753957940E-04
AS G12  2022  6 10  0  0  0.000000  1   -0.228691906852E-03
AS G13  2022  6 10  0  0  0.000000  1    0.327082092939E-03
AS G14  2022  6 10  0  0  0.000000  1   -0.111170487151E-03
AS G15  2022  6 10  0  0  0.000000  1   -0.544799952239E-04
AS G16  2022  6 10  0  0  0.000000  1   -0.507773994768E-03
AS G17  2022  6 10  0  0  0.000000  1    0.623111134137E-03
AS G18  2022  6 10  0  0  0.000000  1    0.146610044239E-03
AS G19  2022  6 10  0  0  0.000000  1    0.168619662907E-03
